IDSubComponent,IDCompDesc,IDFunction,Value,IDUnit,TolP,TolN,ForceBits,PinA,PinB,PinC,PinD,PinE,PinF,PinG,PinH,PinS
9,2,52,13.0,9,0.0,0.0,1,1,19,2,18,0,0,0,0,
10,2,52,13.0,9,0.0,0.0,1,1,19,3,17,0,0,0,0,
11,2,52,13.0,9,0.0,0.0,1,1,19,4,16,0,0,0,0,
12,2,52,13.0,9,0.0,0.0,1,1,19,5,15,0,0,0,0,
13,2,52,13.0,9,0.0,0.0,1,1,19,6,14,0,0,0,0,
14,2,52,13.0,9,0.0,0.0,1,1,19,7,13,0,0,0,0,
15,2,52,13.0,9,0.0,0.0,1,1,19,8,12,0,0,0,0,
16,2,52,13.0,9,0.0,0.0,1,1,19,9,11,0,0,0,0,
17,3,8,0.7,4,10.0,10.0,1,1,3,0,0,0,0,0,0,
18,3,8,0.7,4,10.0,10.0,1,3,2,0,0,0,0,0,0,
19,4,8,0.3,4,10.0,10.0,1,1,3,0,0,0,0,0,0,
20,4,8,0.3,4,10.0,10.0,1,3,2,0,0,0,0,0,0,
21,5,12,0.0,4,0.0,0.0,0,1,3,2,0,0,0,0,0,
22,5,12,0.0,4,0.0,0.0,0,8,6,7,0,0,0,0,0,
23,5,12,0.0,4,0.0,0.0,0,9,11,10,0,0,0,0,0,
24,5,12,0.0,4,0.0,0.0,0,16,14,15,0,0,0,0,0,
25,6,43,0.0,4,0.0,0.0,0,1,2,7,0,0,0,0,0,
26,6,43,0.0,4,0.0,0.0,0,4,3,6,0,0,0,0,0,
27,7,43,0.0,4,0.0,0.0,0,1,2,16,15,0,0,0,0,
28,7,43,0.0,4,0.0,0.0,0,3,4,14,13,0,0,0,0,
29,7,43,0.0,4,0.0,0.0,0,5,6,12,11,0,0,0,0,
30,7,43,0.0,4,0.0,0.0,0,7,8,10,9,0,0,0,0,
31,8,52,12.0,9,0.0,0.0,1,1,2,0,0,0,0,0,0,
32,8,52,12.0,9,0.0,0.0,1,3,4,0,0,0,0,0,0,
33,8,52,12.0,9,0.0,0.0,1,5,6,0,0,0,0,0,0,
34,8,52,12.0,9,0.0,0.0,1,9,8,0,0,0,0,0,0,
35,8,52,12.0,9,0.0,0.0,1,11,10,0,0,0,0,0,0,
36,8,52,12.0,9,0.0,0.0,1,13,12,0,0,0,0,0,0,
37,9,52,2.0,9,0.0,0.0,1,1,2,4,0,0,0,0,0,
38,10,53,0.0,4,0.0,0.0,0,1,3,4,0,0,0,0,0,
39,11,53,0.0,4,0.0,0.0,0,1,2,3,0,0,0,0,0,
40,11,53,0.0,4,0.0,0.0,0,5,6,7,0,0,0,0,0,
41,12,53,0.0,4,0.0,0.0,0,3,5,0,0,0,0,0,0,
42,13,8,0.7,4,10.0,10.0,1,1,3,0,0,0,0,0,0,
43,14,8,0.3,4,10.0,10.0,1,1,2,0,0,0,0,0,0,
44,14,8,0.3,4,10.0,10.0,1,3,2,0,0,0,0,0,0,
45,15,8,0.3,4,10.0,10.0,1,1,2,0,0,0,0,0,0,
46,15,8,0.3,4,10.0,10.0,1,3,2,0,0,0,0,0,0,
47,16,8,0.3,4,10.0,10.0,1,1,2,0,0,0,0,0,0,
48,16,8,0.3,4,10.0,10.0,1,2,3,0,0,0,0,0,0,
49,17,8,0.0,4,10.0,10.0,0,1,2,0,0,0,0,0,0,
50,17,8,0.0,4,10.0,10.0,6,3,2,0,0,0,0,0,0,
55,19,8,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
56,19,8,0.0,4,0.0,0.0,0,4,3,0,0,0,0,0,0,
57,20,6,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
58,20,6,0.0,4,0.0,0.0,0,3,1,0,0,0,0,0,0,
59,20,6,0.0,4,0.0,0.0,0,4,1,0,0,0,0,0,0,
60,20,6,0.0,4,0.0,0.0,0,5,1,0,0,0,0,0,0,
61,21,6,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
62,21,6,0.0,4,0.0,0.0,0,3,1,0,0,0,0,0,0,
63,21,6,0.0,4,0.0,0.0,0,4,1,0,0,0,0,0,0,
64,21,6,0.0,4,0.0,0.0,0,5,1,0,0,0,0,0,0,
65,21,6,0.0,4,0.0,0.0,0,6,1,0,0,0,0,0,0,
66,22,6,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
67,22,6,0.0,4,0.0,0.0,0,3,1,0,0,0,0,0,0,
68,22,6,0.0,4,0.0,0.0,0,4,1,0,0,0,0,0,0,
69,22,6,0.0,4,0.0,0.0,0,5,1,0,0,0,0,0,0,
70,22,6,0.0,4,0.0,0.0,0,6,1,0,0,0,0,0,0,
71,22,6,0.0,4,0.0,0.0,0,7,1,0,0,0,0,0,0,
72,22,6,0.0,4,0.0,0.0,0,8,1,0,0,0,0,0,0,
73,23,6,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
74,23,6,0.0,4,0.0,0.0,0,3,1,0,0,0,0,0,0,
75,23,6,0.0,4,0.0,0.0,0,4,1,0,0,0,0,0,0,
76,23,6,0.0,4,0.0,0.0,0,5,1,0,0,0,0,0,0,
77,23,6,0.0,4,0.0,0.0,0,6,1,0,0,0,0,0,0,
78,23,6,0.0,4,0.0,0.0,0,7,1,0,0,0,0,0,0,
79,23,6,0.0,4,0.0,0.0,0,8,1,0,0,0,0,0,0,
80,23,6,0.0,4,0.0,0.0,0,9,1,0,0,0,0,0,0,
81,24,6,0.0,4,0.0,0.0,0,2,1,0,0,0,0,0,0,
82,24,6,0.0,4,0.0,0.0,0,3,1,0,0,0,0,0,0,
83,24,6,0.0,4,0.0,0.0,0,4,1,0,0,0,0,0,0,
84,24,6,0.0,4,0.0,0.0,0,5,1,0,0,0,0,0,0,
85,24,6,0.0,4,0.0,0.0,0,6,1,0,0,0,0,0,0,
86,24,6,0.0,4,0.0,0.0,0,7,1,0,0,0,0,0,0,
87,24,6,0.0,4,0.0,0.0,0,8,1,0,0,0,0,0,0,
88,24,6,0.0,4,0.0,0.0,0,9,1,0,0,0,0,0,0,
89,24,6,0.0,4,0.0,0.0,0,10,1,0,0,0,0,0,0,
90,25,6,0.0,4,0.0,0.0,0,1,16,0,0,0,0,0,0,
91,25,6,0.0,4,0.0,0.0,0,8,16,0,0,0,0,0,0,
92,25,6,0.0,4,0.0,0.0,0,9,16,0,0,0,0,0,0,
93,25,6,0.0,4,0.0,0.0,0,10,16,0,0,0,0,0,0,
94,25,6,0.0,4,0.0,0.0,0,11,16,0,0,0,0,0,0,
95,25,6,0.0,4,0.0,0.0,0,12,16,0,0,0,0,0,0,
96,25,6,0.0,4,0.0,0.0,0,13,16,0,0,0,0,0,0,
97,25,6,0.0,4,0.0,0.0,0,14,16,0,0,0,0,0,0,
98,25,6,0.0,4,0.0,0.0,0,15,16,0,0,0,0,0,0,
99,25,6,0.0,4,0.0,0.0,0,2,16,0,0,0,0,0,0,
100,25,6,0.0,4,0.0,0.0,0,3,16,0,0,0,0,0,0,
101,25,6,0.0,4,0.0,0.0,0,4,16,0,0,0,0,0,0,
