IDFunction,Pattern,Condition
3,##J*,
3,CONN*,
3,##DIN*,
3,##SC*,
3,##SP*,
4,##JP*,
4,##I*,
4,JUMPER*,
4,JUMP*,
4,##W*,
4,##SW*,
4,SWITCH*,
5,##F*,
5,FUSE*,
5,##FU*,
6,##R*,
6,RESIST*,
6,RES*,
7,##C*,
7,ELCAP*,
7,CAPAC*,
7,CAP*,
8,##D*,
8,##CR*,
8,##GR*,
8,##LED*,
8,##LD*,
8,DIODE*,
8,LED*,
9,##T*,
9,TRP*,
9,##Q*,
9,TRANSIST*,
9,BF*,
9,BC*,
11,##L*,
11,IND*,
12,##U*,
12,##IC*,
12,74*,
12,52*,
12,OQ*,
12,MC*,
12,QFP*,
12,DIGITAL*,
14,##M*,
14,##MF*,
14,MOSFET*,
14,FET*,
14,JFET*,
14,##JF*,
14,##QF*,
15,##TR*,
15,TRANSF*,
16,##RL*,
16,K*,
16,##K*,
16,RELE*,
16,RELAY*,
17,##DZ*,
17,Z*,
17,##Z*,
18,CLOCK*,
31,CLUSTER*,
41,CLUSTERDIA*,
43,OPT*,
44,SCR*,
44,##SCR*,
45,TRC*,
45,##TRC*,
46,VR*,
46,##VR*,
49,##Y*,
49,##QZ*,
49,OSC*,
49,XTAL*,
49,##XT*,
49,##X*,
52,54*,
53,LM*,
65,FIDUCIAL*,
65,FID*,
65,##FID*,
65,##FIDUCIAL*,
66,##VIA*,
66,##V*,
66,VIA*,
67,##TP*,
67,TESTPOINT*,
67,TP*,
68,POTENTIOMETER*,
68,##POT*,
68,TRIM*,
68,##TRIM*,
68,##TRM*,
68,TRV*,
68,POT*,
127,ORTHO*,
127,##ORTHO*,
128,THICK*,
128,##THICK*,
