IDFunction,IDMacroKind,Order,IDJump,MacroSelectionCriteria,IDMacroKindJump
1,55,1,1,,0
2,54,1,1,,0
3,1,1,1,,0
4,60,1,1,,0
5,64,1,1,,0
6,47,1,1,,0
7,48,1,1,,0
8,52,1,1,,0
9,66,1,1,?HWSET<2.0,0
9,102,3,1,?BRDVIVAVER<11.0.0.0,0
9,149,2,1,?BRDVIVAVER<11.0.0.0,0
9,221,2,1,?HWSET>=2,0
11,49,1,1,,0
12,148,1,1,?BRDVIVAVER<13.0.0.0,0
14,66,1,1,?HWSET<2.0,0
14,221,2,1,?HWSET>=2,0
15,63,1,1,,0
16,61,1,1,?HWSET<2.0,0
16,222,2,1,?HWSET>=2,0
17,111,2,1,,0
17,112,1,1,,0
18,20,1,1,,0
19,27,1,1,,0
20,28,1,1,,0
21,113,1,1,,0
22,31,1,1,,0
27,34,1,1,,0
28,114,1,1,,0
29,37,1,1,,0
30,78,1,1,,0
30,230,1,1,,0
31,53,1,1,,0
32,56,1,1,,0
33,69,1,1,,0
34,50,1,1,,0
36,109,1,1,,0
37,72,1,1,,0
38,75,1,1,,0
39,76,1,1,,0
41,82,1,1,,0
43,84,1,1,,0
44,85,1,1,,0
44,87,2,1,,0
44,88,3,1,,0
44,89,4,1,,0
45,86,1,1,,0
45,90,2,1,,0
45,91,3,1,,0
45,92,4,1,,0
46,93,1,1,,0
49,96,1,1,,0
50,68,1,1,,0
52,80,1,1,,0
53,97,2,1,,0
53,100,1,1,,0
53,101,3,1,,0
54,99,1,1,?USE_ARPW_MACRO=0,0
54,233,2,1,?USE_ARPW_MACRO=1,0
54,234,4,1,?USE_ARPW_MACRO=1,0
54,235,3,1,?USE_ARPW_MACRO=1,0
55,99,1,1,?USE_ARPW_MACRO=0,0
55,236,2,1,?USE_ARPW_MACRO=1,0
59,50,2,1,,0
59,68,1,1,,0
61,50,2,1,,0
61,52,1,1,,0
62,55,1,1,?NOTM_GEN=1,0
63,110,1,1,,0
68,47,1,1,,0
69,116,1,1,,0
71,118,1,1,,0
72,126,1,1,,0
73,133,1,1,,0
74,123,1,1,,0
75,124,1,1,,0
76,66,1,1,,0
76,221,2,1,?HWSET>=2,0
77,137,1,1,,0
78,138,1,1,,0
79,139,1,1,,0
80,140,1,1,,0
81,56,1,1,,0
81,118,2,1,,0
82,148,1,1,,0
83,150,1,1,,0
84,151,1,1,,0
85,152,0,1,,0
86,153,1,1,,0
87,154,1,1,,0
88,167,1,1,,0
89,169,1,1,,0
90,168,1,1,,0
91,170,1,1,,0
92,171,1,1,,0
93,173,1,1,,0
94,172,1,1,,0
96,187,1,1,,0
97,174,1,1,,0
97,177,2,1,,0
98,102,3,1,?BRDVIVAVER<11.0.0.0,0
98,149,2,1,?BRDVIVAVER<11.0.0.0,0
98,178,1,1,?HWSET<2.0,0
98,223,2,1,?HWSET>=2,0
99,52,2,1,,0
99,179,1,1,?HWSET<2.0,0
99,189,3,1,?BRDVIVAVER<11.0.0.0,0
99,224,2,1,?HWSET>=2,0
100,180,1,1,?HWSET<2.0,0
100,225,2,1,?HWSET>=2,0
101,181,1,1,?HWSET<2.0,0
101,226,2,1,?HWSET>=2,0
102,182,1,1,,0
103,183,1,1,,0
104,184,1,1,,0
105,212,2,1,,0
106,213,2,1,,0
107,185,1,1,,0
108,186,1,1,,0
109,190,1,1,,0
110,192,1,1,,0
111,193,1,1,,0
112,194,1,1,,0
113,195,1,1,,0
115,56,1,1,,0
116,198,1,1,,0
117,198,1,1,,0
118,198,1,1,,0
119,198,1,1,,0
120,198,1,1,,0
121,198,1,1,,0
122,198,1,1,,0
123,199,1,1,,0
124,200,1,1,,0
124,228,1,1,,0
124,229,1,1,,0
125,201,1,1,,0
126,202,1,1,?BRDVIVAVER<11.0.0.0,0
129,207,1,1,,0
130,208,1,1,,0
131,209,1,1,,0
132,210,1,1,,0
134,214,2,1,,0
135,219,1,1,,0
136,220,1,1,,0
138,231,1,1,,0
139,232,1,1,,0
9,257,5,1,?BRDVIVAVER>=11.0.0.0,0
9,259,6,1,?BRDVIVAVER>=11.0.0.0,0
12,256,2,1,?BRDVIVAVER>=13.0.0.0,0
53,255,4,1,,0
62,250,2,1,?NOTM_GEN=2&BRDVIVAVER>=11.0.0.0,0
98,257,5,1,?BRDVIVAVER>=11.0.0.0,0
98,259,6,1,?BRDVIVAVER>=11.0.0.0,0
99,260,5,1,?BRDVIVAVER>=11.0.0.0,0
126,250,2,1,?BRDVIVAVER>=11.0.0.0,0
140,238,1,1,,0
141,239,1,1,,0
142,241,1,1,,0
143,119,1,1,,0
144,243,1,1,,0
145,244,1,1,,0
146,245,1,1,,0
147,246,1,1,,0
148,100,1,1,,0
150,254,1,1,,0
152,261,1,1,,0
