IDLocalVariable,IDMacroKind,IDParameterClass,Name,InitValue
520,1,2,@CONNECTOR.FAIL,0
521,1,2,$DC.FAIL,0
522,1,2,$DC.RETVAL,0
523,2,2,@_JUMPER.FAIL,0
524,2,2,$MAIN.FAIL,0
525,2,2,$MAIN.RETVAL,0
526,3,2,@_FUSE.FAIL,0
527,3,2,$DC.FAIL,0
528,3,2,$DC.RETVAL,0
529,9,2,@_DIODE.FAIL,0
530,9,2,$DC.FAIL,0
531,9,2,$DC.RETVAL,0
532,10,2,@_TRANSISTOR.FAIL,0
533,10,2,$DC.FAIL,0
534,10,2,$DC.RETVAL,0
535,13,2,@7400.FAIL,0
536,13,2,$ADJACENT.FAIL,0
537,13,2,$ADJACENT.RETVAL,0
538,14,2,@7404.FAIL,0
539,14,2,$ADJACENT.FAIL,0
540,14,2,$ADJACENT.RETVAL,0
541,15,2,@7440.FAIL,0
542,15,2,$ADJACENT.FAIL,0
543,15,2,$ADJACENT.RETVAL,0
544,17,2,answerOPE,0
545,17,1,sFixtureType,
546,17,2,TIM,0
547,17,2,@_ISOLATION.FAIL,0
548,17,2,$DC.FAIL,0
549,17,2,$DC.RETVAL,0
550,18,2,LPIN1,0
551,18,2,LPIN2,0
552,18,2,@_RESISTOR.FAIL,0
553,18,2,$MAIN.FAIL,0
554,18,2,$MAIN.RETVAL,0
555,19,2,ANSWER,0
556,19,2,CV,0
557,19,2,DRI,0
558,19,2,DRV,0
559,19,3,GUA,0
560,19,2,HIGH,0
561,19,2,LOW,0
562,19,2,MES,0
563,19,2,TIM,0
564,19,2,VAL,0
565,19,2,VAL1,0
566,19,2,VAL2,0
567,19,3,ZERO,0
568,19,2,@SYSTEM_PROC.FAIL,0
569,19,2,$PROC1.FAIL,0
570,19,2,$PROC1.RETVAL,0
571,19,2,$RES.FAIL,0
572,19,2,$RES.RETVAL,0
573,19,2,$RES4.FAIL,0
574,19,2,$RES4.RETVAL,0
575,19,2,$OPE.FAIL,0
576,19,2,$OPE.RETVAL,0
577,19,2,$CTO.FAIL,0
578,19,2,$CTO.RETVAL,0
579,19,2,$CAP.FAIL,0
580,19,2,$CAP.RETVAL,0
581,19,2,$SCAP.FAIL,0
582,19,2,$SCAP.RETVAL,0
583,19,2,$NCTO.FAIL,0
584,19,2,$NCTO.RETVAL,0
585,19,2,$OPEN.FAIL,0
586,19,2,$OPEN.RETVAL,0
587,20,2,@CLOCK.FAIL,0
588,20,2,$DUMMY.FAIL,
589,20,2,$DUMMY.RETVAL,
590,21,2,@_MOSFET.FAIL,0
591,21,2,$DUMMY.FAIL,
592,21,2,$DUMMY.RETVAL,
593,22,2,@_RELAIS.FAIL,0
594,22,2,$DUMMY.FAIL,
595,22,2,$DUMMY.RETVAL,
596,23,2,@_TRANSFORMER.FAIL,0
597,23,2,$DUMMY.FAIL,
598,23,2,$DUMMY.RETVAL,
599,24,2,$DUMMY.RETVAL,
600,24,2,@_ZENER.FAIL,0
601,24,2,$DUMMY.FAIL,
602,26,2,LPIN1,0
603,26,2,LPIN2,0
604,26,2,VAL1,0
605,26,2,VAL2,0
606,26,2,@_CAPACITOR.FAIL,0
607,26,2,$MAIN.FAIL,0
608,26,2,$MAIN.RETVAL,0
609,27,2,fFemto,
610,27,2,@BEGIN.FAIL,0
611,27,2,$Main.FAIL,
612,27,2,$Main.RETVAL,
613,28,2,@END.FAIL,0
614,28,2,$Main.FAIL,
615,28,2,$Main.RETVAL,
616,29,2,VAL,0
617,29,2,@CAP_READ.FAIL,0
618,29,2,$Main.FAIL,0
619,29,2,$Main.RETVAL,0
620,30,2,answerCTO,0
621,30,1,sFixtureType,
622,30,2,TIM,0
623,30,2,@_CONTINUITY.FAIL,0
624,30,2,$DC.FAIL,0
625,30,2,$DC.RETVAL,0
626,31,2,@CAP_PARSE.FAIL,0
627,31,2,$Main.FAIL,
628,31,2,$Main.RETVAL,
629,34,2,@CAP_ISO.FAIL,0
630,34,2,$Main.FAIL,
631,34,2,$Main.RETVAL,
632,36,1,sFixtureType,
633,36,2,VAL,
634,36,2,@CAP_BEGIN.FAIL,0
635,36,2,$Main.FAIL,
636,36,2,$Main.RETVAL,
637,37,2,@CAP_END.FAIL,0
638,37,2,$Main.FAIL,
639,37,2,$Main.RETVAL,
640,38,2,LamPresent,0
641,38,2,@FEMTO_READ.FAIL,0
642,38,2,$Main.FAIL,
643,38,2,$Main.RETVAL,
644,41,2,@_SOLD.FAIL,0
645,41,2,$Main.FAIL,
646,41,2,$Main.RETVAL,
647,42,2,answerCTO,0
648,42,1,sFixtureType,
649,42,2,TIM,0
650,42,2,@_CONTINUITY_STD.FAIL,0
651,42,2,$DC.FAIL,0
652,42,2,$DC.RETVAL,0
653,43,2,answerOPE,0
654,43,1,sFixtureType,
655,43,2,TIM,0
656,43,2,@_ISOLATION_STD.FAIL,0
657,43,2,$DC.FAIL,0
658,43,2,$DC.RETVAL,0
659,44,2,VAL,0
660,44,2,@CAP_READ_STD.FAIL,0
661,44,2,$Main.FAIL,0
662,44,2,$Main.RETVAL,0
663,47,2,@RESISTOR.FAIL,0
664,47,2,$Res.FAIL,
665,47,2,$Res.RETVAL,
666,48,2,@CAPACITOR.FAIL,0
667,48,2,$Cap.FAIL,
668,48,2,$Cap.RETVAL,
669,49,2,@INDUCTOR.FAIL,0
670,49,2,$Ind.FAIL,
671,49,2,$Ind.RETVAL,
672,50,2,@FAN.FAIL,0
673,50,2,$Fan.FAIL,0
674,50,2,$Fan.RETVAL,0
675,51,2,@PAN.FAIL,0
676,51,2,$Pan.FAIL,
677,51,2,$Pan.RETVAL,
678,52,2,@DIODE.FAIL,0
679,52,2,$Jun.FAIL,
680,52,2,$Jun.RETVAL,
681,53,2,@CLUSTER.FAIL,0
682,53,2,$Cluster.FAIL,0
683,53,2,$Cluster.RETVAL,0
684,54,2,@CONTINUITY.FAIL,0
685,54,2,$CTO.FAIL,
686,54,2,$CTO.RETVAL,
687,55,2,@ISOLATION.FAIL,0
688,55,2,$ISO.FAIL,
689,55,2,$ISO.RETVAL,
690,56,2,@OPENFIX.FAIL,0
691,56,2,$Case.FAIL,0
692,56,2,$Case.RETVAL,0
693,57,2,@ZENER.FAIL,0
694,57,2,$ZEN.FAIL,
695,57,2,$ZEN.RETVAL,
696,58,2,@_OPENFIX.FAIL,0
697,58,2,$Case.FAIL,0
698,58,2,$Case.RETVAL,0
699,59,2,@_INDUCTOR.FAIL,0
700,59,2,$Main.FAIL,
701,59,2,$Main.RETVAL,
702,60,2,@JUMPER.FAIL,0
703,60,2,$Jumper.FAIL,0
704,60,2,$Jumper.RETVAL,0
705,61,2,@RELAIS.FAIL,0
706,61,2,$DUMMY.FAIL,
707,61,2,$DUMMY.RETVAL,
708,63,2,@TRANSFORMER.FAIL,0
709,63,2,$Transf.FAIL,0
710,63,2,$Transf.RETVAL,0
711,64,2,TestCurrent,0.02
712,64,2,@FUSE.FAIL,0
713,64,2,$Fuse.FAIL,0
714,64,2,$Fuse.RETVAL,0
715,65,2,@MOSFET.FAIL,0
716,65,2,$Mos.FAIL,
717,65,2,$Mos.RETVAL,
718,66,2,@TRANSISTOR.FAIL,0
719,66,2,$BJT.FAIL,
720,66,2,$BJT.RETVAL,
721,68,2,@OPIC.FAIL,0
722,68,2,$Jscan.FAIL,
723,68,2,$Jscan.RETVAL,
724,69,2,@DISCAP.FAIL,0
725,69,2,$Discharge.FAIL,0
726,69,2,$Discharge.RETVAL,0
727,70,2,LamPresent,0
728,70,2,@CAP_READ_Z.FAIL,0
729,70,2,$Main.FAIL,0
730,70,2,$Main.RETVAL,0
731,72,2,ret,0
732,72,2,@VISION.FAIL,0
733,72,2,$Vision.FAIL,0
734,72,2,$Vision.RETVAL,0
735,73,2,@DIODE_INV.FAIL,0
736,73,2,$Jun.FAIL,
737,73,2,$Jun.RETVAL,
738,74,2,@_SOLD1.FAIL,0
739,74,2,$Main.FAIL,0
740,74,2,$Main.RETVAL,0
741,75,2,@PANFAN_BEGIN.FAIL,0
742,75,2,$Main.FAIL,
743,75,2,$Main.RETVAL,
744,76,2,@PANFAN_END.FAIL,0
745,76,2,$Main.FAIL,
746,76,2,$Main.RETVAL,
747,78,2,@_SOLD2.FAIL,0
748,78,2,$Main.FAIL,0
749,78,2,$Main.RETVAL,0
750,79,2,@OPENFIX_PARSE.FAIL,0
751,79,2,$DUMMY.FAIL,
752,79,2,$DUMMY.RETVAL,
753,80,2,@GATE.FAIL,0
754,80,2,$Gate.FAIL,0
755,80,2,$Gate.RETVAL,0
756,82,2,@CLUSTERDIA.FAIL,0
757,82,2,$CluDia.FAIL,
758,82,2,$CluDia.RETVAL,
759,84,2,@OPTOISOLATOR.FAIL,0
760,84,2,$Opto.FAIL,0
761,84,2,$Opto.RETVAL,0
762,85,2,@SCR_ON.FAIL,0
763,85,2,$SCR.FAIL,0
764,85,2,$SCR.RETVAL,0
765,86,2,@TRIAC_ON.FAIL,0
766,86,2,$TRIAC.FAIL,0
767,86,2,$TRIAC.RETVAL,0
768,87,2,@SCR_OFF.FAIL,0
769,87,2,$SCR.FAIL,0
770,87,2,$SCR.RETVAL,0
771,88,2,@SCR_ON_INV.FAIL,0
772,88,2,$SCR.FAIL,0
773,88,2,$SCR.RETVAL,0
774,89,2,@SCR_OFF_INV.FAIL,0
775,89,2,$SCR.FAIL,0
776,89,2,$SCR.RETVAL,0
777,90,2,@TRIAC_OFF.FAIL,0
778,90,2,$TRIAC.FAIL,0
779,90,2,$TRIAC.RETVAL,0
780,91,2,@TRIAC_ON_INV.FAIL,0
781,91,2,$TRIAC.FAIL,0
782,91,2,$TRIAC.RETVAL,0
783,92,2,@TRIAC_OFF_INV.FAIL,0
784,92,2,$TRIAC.FAIL,0
785,92,2,$TRIAC.RETVAL,0
