IDMacroLine,KindTParam,IDTParam,StringValue,NumberValue,Position,ElementIdx
577729.0,3.0,12.0,,0.0,2.0,-1.0
577729.0,3.0,13.0,,0.0,3.0,-1.0
577730.0,6.0,0.0,{1}130 {-1}* {1}147 {-1}/ {1}145,0.0,0.0,-1.0
577731.0,6.0,0.0,{0}0.002 {-1}* {-1}( {3}10 {-1}/ {1}147 {-1}),0.0,0.0,-1.0
577683.0,6.0,0.0,{3}10,0.0,2.0,-1.0
577683.0,6.0,0.0,{1}146,0.0,3.0,-1.0
577682.0,0.0,0.0,V,0.0,0.0,-1.0
577682.0,6.0,0.0,{-1}( {1}134 {-1}* {1}130 {-1}) {-1}/ {0}1000,0.0,1.0,-1.0
577682.0,6.0,0.0,{-1}( {1}135 {-1}* {1}130 {-1}) {-1}/ {0}1000,0.0,2.0,-1.0
577682.0,6.0,0.0,{-1}( {1}133 {-1}* {1}130 {-1}) {-1}/ {0}1000,0.0,3.0,-1.0
577687.0,6.0,0.0,{3}5 {-1}/ {0}1000000,0.0,0.0,-1.0
577688.0,0.0,0.0,F,0.0,0.0,-1.0
577688.0,1.0,134.0,,0.0,1.0,-1.0
577688.0,1.0,146.0,,0.0,2.0,-1.0
577688.0,1.0,133.0,,0.0,3.0,-1.0
577685.0,0.0,0.0,F,0.0,0.0,-1.0
577685.0,1.0,134.0,,0.0,1.0,-1.0
577685.0,3.0,10.0,,0.0,2.0,-1.0
577685.0,1.0,133.0,,0.0,3.0,-1.0
577686.0,0.0,0.0,F,0.0,0.0,-1.0
577686.0,1.0,134.0,,0.0,1.0,-1.0
577686.0,3.0,5.0,,0.0,2.0,-1.0
577686.0,1.0,133.0,,0.0,3.0,-1.0
577702.0,6.0,0.0,{-1}( {-1}( {-1}( {1}130 {-1}* {1}147 {-1}) {-1}/ {1}138 {-1}) {-1}),0.0,0.0,-1.0
577701.0,6.0,0.0,{-1}( {-1}( {-1}( {1}130 {-1}* {1}147 {-1}) {-1}/ {3}10 {-1}) {-1}* {0}1000 {-1}),0.0,0.0,-1.0
577732.0,6.0,0.0,{1}130 {-1}> {0}100,0.0,0.0,-1.0
577733.0,6.0,0.0,{0}100,0.0,0.0,-1.0
577734.0,3.0,230.0,,0.0,0.0,-1.0
577734.0,1.0,247.0,,0.0,1.0,-1.0
577734.0,3.0,233.0,,0.0,2.0,-1.0
577734.0,1.0,131.0,,0.0,3.0,-1.0
577734.0,1.0,130.0,,0.0,4.0,-1.0
577735.0,1.0,247.0,,0.0,0.0,-1.0
577735.0,1.0,147.0,,0.0,1.0,-1.0
577735.0,0.0,0.0,,1.0,2.0,-1.0
577735.0,3.0,13.0,,0.0,3.0,-1.0
577736.0,1.0,247.0,,0.0,0.0,-1.0
577736.0,1.0,147.0,,0.0,1.0,-1.0
577736.0,3.0,12.0,,0.0,2.0,-1.0
577736.0,3.0,13.0,,0.0,3.0,-1.0
577105.0,6.0,0.0,{2}120,0.0,0.0,-1.0
577106.0,6.0,0.0,{2}164 {-1}== {3}62,0.0,0.0,-1.0
577107.0,6.0,0.0,{3}3,0.0,0.0,-1.0
578065.0,6.0,0.0,{1}725 {-1}> {1}726,0.0,0.0,-1.0
578066.0,6.0,0.0,{2}1700,0.0,0.0,-1.0
578067.0,6.0,0.0,{2}1699,0.0,0.0,-1.0
