IDMethodParam,IDToolMethod,IDParameterClass,IDUnit,Name,Position,DefaultValue,SourceReference,InOut,Optional,Range
1,101,1,0,measType,0,Volt,,0,0,
2,101,2,4,maxVal,1,*50,,0,0,2|10|*50
3,101,2,17,inShortWith,2,None,,0,0,
4,102,3,0,testPoint,0,0,,0,0,0
5,102,2,5,time,1,0.001,,0,0,0.0000005:60
6,102,2,9,recycle,2,1,,0,0,1:2147483647
7,102,2,12,mode,3,Average,,0,0,
8,201,3,0,testPoint,0,0,,0,0,0
9,201,2,5,time,1,0.001,,0,0,0.0000005:60
10,201,2,9,recycle,2,1,,0,0,1:2147483647
11,201,2,12,mode,3,Average,,0,0,
12,301,3,0,testPoint,0,0,,0,0,0
13,301,2,5,time,1,0,,0,0,0.0000005:60
14,301,2,9,nImpuls,2,0,,0,0,0:32767
15,301,2,18,mode,3,Positive,,0,0,
16,401,2,19,mode,0,Current Generator,,0,0,
17,401,3,0,testPoint,1,0,,0,0,0
18,401,2,20,pulse,2,No Pulse,,0,0,
19,401,2,4,valV,3,0,,0,0,-50:+50
20,401,2,6,valI,4,0,,0,0,0:0.5
21,501,3,0,testPoint,0,0,,0,0,0
22,501,2,20,pulse,1,No Pulse,,0,0,
23,501,2,15,RG,2,No,,0,0,
24,501,2,4,valV,3,0,,0,0,-10.240:+10.240
25,601,2,4,valV,0,,,0,0,-300:+300
26,601,2,14,state,1,On,,0,0,
27,601,2,14,sense,2,On,,0,0,
28,701,2,4,valV,0,,,0,0,-300:+300
29,701,2,14,state,1,On,,0,0,
30,701,2,14,sense,2,On,,0,0,
31,801,2,4,valV,0,,,0,0,-300:+300
32,801,2,14,state,1,On,,0,0,
33,801,2,14,sense,2,On,,0,0,
34,901,2,4,valV,0,,,0,0,-300:+300
35,901,2,14,state,1,On,,0,0,
36,901,2,14,sense,2,On,,0,0,
37,1001,2,4,valV,0,,,0,0,-300:+300
38,1001,2,14,state,1,On,,0,0,
39,1001,2,14,sense,2,On,,0,0,
40,1101,2,4,valV,0,,,0,0,-300:+300
41,1101,2,14,state,1,On,,0,0,
42,1101,2,14,sense,2,On,,0,0,
43,1201,2,21,mode,0,Up,,0,0,
44,1201,2,3,valO,1,1000,,0,0,1000:1500000
46,1301,3,0,testPoint,0,0,,0,0,0
47,1301,2,22,mode,1,DR1,,0,0,
48,1401,3,0,testPoint,0,0,,0,0,0
49,1401,3,0,openChannels,1,0,,0,0,0
50,1501,1,0,unit,0,V,,0,0,F|H|O|V|s|A|Hz|m|fF
51,1501,2,4,low,1,0,,0,0,
52,1501,2,4,meas,2,0,,0,0,
53,1501,2,4,high,3,0,,0,0,
54,1502,2,4,value,0,0,,0,0,
55,1502,2,11,error,1,Set Error,,0,0,
56,1502,2,23,view,2,None,,0,0,
57,1601,2,9,value,0,255,,0,0,
58,1701,2,9,value,0,0xFF,,0,0,
59,1801,2,9,value,0,0xFF,,0,0,
60,1901,1,0,mode,0,UP,,0,0,
61,1901,2,8,upPos,1,0.020,,0,0,
62,1901,2,8,downPos,2,-0.002,,0,0,
63,1901,2,9,speed,3,10,,0,0,
64,2001,1,0,mode,0,UP,,0,0,
65,2001,2,8,upPos,1,0.020,,0,0,
66,2001,2,8,downPos,2,-0.002,,0,0,
67,2001,2,9,speed,3,10,,0,0,
68,2101,1,0,mode,0,UP,,0,0,
69,2101,2,8,upPos,1,0.020,,0,0,
70,2101,2,8,downPos,2,-0.002,,0,0,
71,2101,2,9,speed,3,10,,0,0,
72,2201,1,0,mode,0,UP,,0,0,
73,2201,2,8,upPos,1,0.020,,0,0,
74,2201,2,8,downPos,2,-0.002,,0,0,
75,2201,2,9,speed,3,10,,0,0,
76,2301,2,9,tol,0,30,,0,0,
77,2301,1,0,mode,1,AUTO,,0,0,
78,2401,2,27,behavior,0,Measure,,0,0,
79,2401,2,25,scale,1,High,,0,0,
80,2401,2,26,mode,2,Asynchronous,,0,0,
81,2402,3,0,testPoint,0,0,,0,0,0
82,2402,3,0,GND,1,0,,0,0,0
83,2501,2,4,valV,0,,,0,0,
84,2501,2,3,valO,1,,,0,0,
85,2501,2,5,time,2,,,0,0,
86,2502,2,5,time,0,,,0,0,
87,2502,2,9,recycle,1,1,,0,0,
88,2502,1,0,mode,2,M,,0,0,
89,2601,1,0,scale,0,HIGH,,0,0,
90,2601,1,0,mode,1,FM,,0,0,
91,2601,2,4,valV,2,,,0,0,
92,2601,2,6,valI,3,,,0,0,
93,2601,2,4,offset,4,,,0,0,
94,2602,2,5,time,0,,,0,0,
95,2701,2,4,highThre,0,,,0,0,
96,2701,2,4,lowThre,1,,,0,0,
97,2701,2,4,highDrv,2,,,0,0,
98,2701,2,4,lowDrv,3,,,0,0,
99,2702,1,0,mode,0,AUTO,,0,0,
100,2702,2,5,time,1,,,0,0,
101,2802,2,9,Row,0,,,0,0,
102,2802,2,9,Column,1,,,0,0,
103,2803,2,9,Background,0,,,0,0,
104,2803,2,9,Foreground,1,,,0,0,
105,2804,1,0,String,0,,,0,0,
106,2805,2,9,Milliseconds,0,,,0,0,
107,2806,2,9,Frequency,0,,,0,0,
108,2806,2,9,Duration,1,,,0,0,
109,2807,2,15,Enable,0,Yes,,0,0,
110,2808,1,0,URL,0, ,,0,0,
111,2809,1,0,Name,0,,,0,0,
112,2810,1,0,Name,0,,,0,0,
113,2810,1,0,Value,1,,,0,0,
114,2901,1,0,mode,0,,,0,0,
115,2902,1,0,string,0,,,0,0,
116,3001,1,0,mode,0,,,0,0,
117,3002,1,0,string,0,,,0,0,
118,3101,1,0,path,0,,,0,0,
119,3101,1,0,mode,1,,,0,0,
120,3103,1,0,string,0,,,0,0,
121,3201,2,9,talk,0,,,0,0,
122,3201,2,9,listen,1,,,0,0,
123,3201,1,0,mode,2,,,0,0,
124,3203,1,0,string,0,,,0,0,
125,3301,1,0,mode,0,,,0,0,
126,3303,1,0,string,0,,,0,0,
127,3401,1,0,mode,0,,,0,0,
128,3402,1,0,string,0,,,0,0,
129,3500,0,0,condition,0,,,0,0,
130,3700,0,0,expression,0,,,0,0,
131,3900,2,5,time,0,,,0,0,
132,4000,0,0,condition,0,,,0,0,
133,4101,0,0,run,0,,,0,0,
134,4101,1,0,code,1,,,0,0,
135,4200,1,0,text,0,,,0,0,
136,4300,1,0,macro,0,,,0,0,
137,4300,1,0,label,1,,,0,0,
138,4400,2,9,value,0,,,0,0,
139,4500,1,0,expression,0,,,0,0,
140,4631,2,9,action,0,,,0,0,
141,4632,3,0,SolderJoint,0,,,0,0,
142,4632,2,30,PreHeatPower,1,,,0,0,
143,4632,2,5,PreHeatTime,2,,,0,0,
144,4632,2,30,SolderPower,3,,,0,0,
145,4632,2,5,SolderTime,4,,,0,0,
146,4632,2,30,PSSoldPower,5,,,0,0,
147,4632,2,5,PSSoldTime,6,,,0,0,
148,4632,2,8,WireNear,7,,,0,0,
149,4632,2,8,WireLength,8,,,0,0,
150,4632,2,9,SolderStep,9,,,0,0,
151,4632,2,8,SpotDiameter,10,,,0,0,
152,4632,2,8,PinDiameter,11,,,0,0,
153,4632,2,9,HeadRotation,12,,,0,0,
154,4632,2,9,SHeadRotation,13,,,0,0,
