IDTool,IDToolMethod,Name,HaveRetValue,IDParameterClass
1,100,Clear,0,0
1,101,Set,0,0
1,102,Measure,1,2
2,200,Clear,0,0
2,201,Measure,1,2
3,300,Clear,0,0
3,301,Set,0,0
4,400,Clear,0,0
4,401,Set,0,0
5,500,Clear,0,0
5,501,Set,0,0
6,600,Clear,0,0
6,601,Set,0,0
7,700,Clear,0,0
7,701,Set,0,0
8,800,Clear,0,0
8,801,Set,0,0
9,900,Clear,0,0
9,901,Set,0,0
10,1000,Clear,0,0
10,1001,Set,0,0
11,1100,Clear,0,0
11,1101,Set,0,0
12,1200,Clear,0,0
12,1201,Set,0,0
13,1300,Clear,0,0
13,1301,Set,0,0
14,1400,Clear,0,0
14,1401,Set,0,0
15,1500,Clear,0,0
15,1501,Set,0,0
15,1502,Measure,1,2
15,1503,WriteMessage,1,2
15,1504,WriteReport,1,2
15,1505,GetParN,1,2
15,1506,GetParS,1,1
15,1507,GetParP,1,3
15,1508,SetParN,0,0
15,1509,SetParS,0,0
15,1510,SetParP,0,0
15,1511,ClearHW,1,2
16,1600,Clear,0,0
16,1601,Set,0,0
17,1700,Clear,0,0
17,1701,Set,0,0
17,1702,Measure,1,2
18,1800,Clear,0,0
18,1801,Set,0,0
18,1802,Measure,1,2
19,1900,Clear,0,0
19,1901,Set,0,0
20,2000,Clear,0,0
20,2001,Set,0,0
21,2100,Clear,0,0
21,2101,Set,0,0
22,2200,Clear,0,0
22,2201,Set,0,0
23,2300,Clear,0,0
23,2301,Measure,1,2
24,2400,Clear,0,0
24,2401,Set,0,0
24,2402,Measure,1,2
25,2500,Clear,0,0
25,2501,Set,0,0
25,2502,Measure,1,2
26,2600,Clear,0,0
26,2601,Set,0,0
26,2602,Measure,1,2
27,2700,Clear,0,0
27,2701,Set,0,0
27,2702,Measure,1,2
28,2800,Reset,0,0
28,2801,ClearScreen,0,0
28,2802,SetCursor,0,0
28,2803,SetColor,0,0
28,2804,Write,0,0
28,2805,Sleep,0,0
28,2806,Beep,0,0
28,2807,HtmlEnableUI,0,0
28,2808,HtmlLoadPage,0,0
28,2809,GetProperty,1,1
28,2810,PutProperty,0,0
29,2900,Clear,0,0
29,2901,Set,0,0
29,2902,Write,0,0
30,3000,Clear,0,0
30,3001,Set,0,0
30,3002,Write,0,0
31,3100,Clear,0,0
31,3101,Set,0,0
31,3102,Read,1,1
31,3103,Write,0,0
32,3200,Clear,0,0
32,3201,Set,0,0
32,3202,Read,1,1
32,3203,Write,0,0
33,3300,Clear,0,0
33,3301,Set,0,0
33,3302,Read,1,1
33,3303,Write,0,0
34,3400,Clear,0,0
34,3401,Set,0,0
34,3402,Write,0,0
34,3403,Read,1,1
35,3500,Evaluate,0,0
36,3600,Dummy,0,0
37,3700,Assign,1,0
38,3800,Set,0,0
39,3900,Set,0,0
40,4000,Evaluate,0,0
41,4100,Clear,0,0
41,4101,Execute,0,0
42,4200,Set,0,0
43,4300,Execute,1,2
44,4400,Dummy,0,0
45,4500,Assign,1,0
46,4600,AuxiliaryBox,1,2
46,4601,Dmaster,1,2
46,4602,Femto,1,2
46,4603,HighVoltage,1,2
46,4604,LamPresent,1,2
46,4605,LamScale,1,2
46,4606,OpenFix,1,2
46,4607,PowerSupply,1,2
46,4608,ScaFP,1,2
46,4609,Scampo,1,2
46,4610,UserBoard,1,2
46,4611,UserGen,1,2
46,4612,ProgrammingStation,1,2
46,4613,SystemType,1,2
46,4614,FixtureInvert,1,2
46,4615,Autodebug,1,2
46,4616,Autolearn,1,2
46,4617,StrayCapacitance,1,2
46,4618,StrayImpedance,1,2
46,4619,StrayInductance,1,2
46,4620,BoardStrayCapacitance,1,2
