IDCompAlias,IDCompDesc,Name
1,2,74LS244
2,2,74S244
3,2,74F244
4,2,74ACT244
5,2,74HCT244
7,2,74LVQ244
8,2,74HC244
9,2,74AHC244
10,8,74LS14
11,8,74S14
12,8,74F14
13,8,74ACT14
14,8,74HCT14
15,8,74LVQ14
16,8,74HC14
17,8,74AHC14
18,13,BAS19
19,13,BAS20
20,13,BAS16
21,17,MBR20100
22,17,MBR2080
23,17,MBR2060
25,51,MC33503
26,44,MC33502
27,8,74LVC14
29,57,74LS125
30,57,74S125
31,57,74F125
32,57,74ACT125
33,57,74HCT125
34,57,74LVQ125
35,57,74HC125
38,57,74LVC125
39,58,74LS08
40,58,74S08
41,58,74F08
42,57,74AHC125
43,58,74ACT08
44,58,74HCT08
45,58,74LVQ08
46,58,74HC08
47,58,74LVC08
48,58,74AHC08
49,59,74LS00
50,59,74S00
51,59,74F00
52,59,74ACT00
53,59,74HCT00
54,59,74LVQ00
55,59,74HC00
56,59,74LVC00
57,59,74AHC00
58,60,IRF7807
59,60,IRF7807A
61,4,BAT54S
62,33,BAT54C
64,56,BAT54
65,3,BAV199
66,61,IRF7313
67,63,MBR1545CT
68,63,MBR1545CTG
69,63,MBR153CTG
70,64,RY12WZ-K
71,64,RY12W-K
72,64,RY12WF-K
73,64,RY12WFZ-K
74,64,RY12D-K
75,60,SI9435BDY
76,60,VNS14NV04
77,66,TLV2372IDGK
78,67,TLV2374IPW
79,68,TPS40007DGQ
80,69,TPS40009DGQ
81,70,TPS40054
82,70,TPS40057
86,85,MUN2211T1
87,84,LM2903
88,96,NUD3124
89,97,MUN2214T1
91,98,HFKA-TO122ZFT
92,98,HFKA-TO122ZST
93,109,MUN2111T1
94,98,HFKA
95,94,LYE65F
96,94,LYE69F
97,111,2911-12-321
98,111,2341-12-020
99,111,2341-12-000
100,113,9401-05-00
101,116,AGN200A12
102,116,UB2-12NU
103,116,AGN20012
104,116,2-1462037-3
