IDCompDesc,Name,TotalPinNumber
2,74244,20
3,BAV99,3
4,BAT64,3
5,ADG201,16
6,HCPL630,8
7,TLP281,16
8,7414,14
9,74VHC1GT08,5
10,LM397,5
11,OP293,8
12,TPS3803,5
13,BAS21,3
14,BAR43A,3
15,BAR43S,3
16,BAR43C,3
17,MBR20,3
19,TWO_DIODE_4_PIN,4
20,R5SIL4C,5
21,R6SIL5C,6
22,R8SIL7C,8
23,R9SIL8C,9
24,R10SIL9C,10
25,R16DIL15C,16
26,R6SIL3S,6
27,R8SIL4S,8
28,R10SIL5S,10
29,R16DIL8S,16
30,R6SIL8P,6
31,BAL74,3
33,BAV70,3
34,BAW56,3
35,BAS28,4
36,D6DIL2S,6
37,D7SIL6CA,7
38,D7SIL6CC,7
39,C9SIL8C,9
40,D9SIL8CA,9
41,D9SIL8CC,9
42,D10SIL5S,10
43,LM324,14
44,LM833,8
45,UA741,8
46,TCA0372-626,8
47,TCA0372-648,16
48,TCA0372-751G,16
49,TCA0372-966,16
50,TLP621-2,8
51,MC33501,5
52,4N35,6
53,DIODE_BRIDGE,4
54,R8DIL4S,8
55,TRIMM,3
56,BAR43,3
57,74125,14
58,7408,14
59,7400,14
60,SI4850,8
61,IRF7331,8
62,BAT54A,3
63,MBR1535CT,4
64,RY12,8
65,JUMPER3,3
66,TLV2372,8
67,TLV2374,14
68,TPS40007,10
69,TPS40009,10
70,TPS40055,16
71,REED,7
79,BCR_NPN,3
80,BCR_PNP,3
81,BCR08PN,6
82,BCR108S,6
83,LM2902,14
84,LM2904,8
85,MUN2211,3
86,4925B,8
87,BCR10PN,6
88,LAE67B,4
89,LAE67F,4
90,LAE69F,4
91,LAE6SF,4
92,LED4GR2,4
93,LSYT675,4
94,LYE6SF,4
95,LYG6SP,6
96,NUD3124D,6
97,MUN2214,3
98,HFKA-TO122Z,10
99,BAS70-00,3
100,BAS70-04,3
101,BAS70-05,3
102,BAS70-06,3
103,BAV70S,6
104,BC856S,6
105,BCR183S,6
106,C8DIL4S,8
107,LAE65F,4
108,LM2901,14
109,MUN2111,3
110,BCR555,3
111,2211-12-301,8
112,2342-12-000,8
113,9117-05-11,4
114,AQV252G,6
115,G3VM-41LR5,4
116,UA2-12NU,8
117,G6K-2P DC5,8
118,8L61,8
