IDFunction,Name,IgnoreMacroSelectionCriteria,FuncOrder,Section,TYPE,Permissions,State,Permissions2
0,<unknown>,0,-1,<unknown>,<unknown>,335478784,0,0
1,Isolation,0,130,Isolation,Isolation,466681856,256,16384
2,Continuity,0,110,Continuity,Continuity,466681856,256,0
3,Connector,0,140,Connector,Connector,465633280,0,0
4,Jumper,0,150,Jumper,Jumper,466681856,256,16384
5,Fuse,0,160,Fuse,Fuse,466681856,256,0
6,Resistor,0,170,Resistor,Resistor,466681856,256,16384
7,Capacitor,0,190,Capacitor,Capacitor,466681856,256,16384
8,Diode,0,210,Diode,Diode,465633280,0,0
9,Transistor,0,220,Transistor,Transistor,465633280,0,0
11,Inductance,0,200,Inductance,Inductance,466681856,256,16384
12,DIGITAL,0,1003,DIGITAL,DIGITAL,465633280,0,0
13,UNKNOWN,0,20003,UNKNOWN,UNKNOWN,335478784,0,0
14,Mosfet,0,230,Mosfet,Mosfet,465633280,0,0
15,Transformer,0,240,Transformer,Transformer,465633280,256,0
16,Relais,0,250,Relais,Relais,465633280,0,0
17,Zener,0,260,Zener,Zener,465633280,0,0
18,CLOCK,0,883,CLOCK,CLOCK,331415552,0,0
19,Begin,0,0,Begin,Begin,335478784,0,0
20,END,0,90003,END,END,335478784,0,0
21,CapacitiveRead,0,3,CapacitiveRead,CapacitiveRead,454033408,0,0
22,CapacitiveParse,0,4,CapacitiveParse,CapacitiveParse,454033408,0,0
27,CapacitiveIso,0,120,CapacitiveIso,CapacitiveIso,454033408,0,0
28,CapacitiveBegin,0,2,CapacitiveBegin,CapacitiveBegin,454033408,0,0
29,CAPACITIVEEND,0,80001,CAPACITIVEEND,CAPACITIVEEND,454033408,0,0
30,SOLDERING,0,10001,SOLDERING,SOLDERING,304087040,0,0
31,CLUSTER,0,2003,CLUSTER,CLUSTER,335478784,0,0
32,OpenFix,0,270,OpenFix,OpenFix,465633280,0,0
33,Discharge,0,10,Discharge,Discharge,465633280,0,0
34,Fan,0,70,FNode,Fan,448856064,0,0
35,Pan,0,80,Pan,Pan,448856064,0,0
36,Contact,0,20,Contact,Contact,306249728,0,0
37,VISION,0,3003,VISION,VISION,469696512,0,0
38,FNodeBegin,0,40,FNodeBegin,FNodeBegin,314638336,0,0
39,FNODEEND,0,89003,FNODEEND,FNODEEND,314638336,0,0
41,ClusterDia,0,320,ClusterDia,ClusterDia,335478784,0,0
43,OptoIsolator,0,310,OptoIsolator,OptoIsolator,465633280,0,0
44,SCR,0,300,SCR,SCR,465633280,0,0
45,TRIAC,0,290,TRIAC,TRIAC,465633280,0,0
46,VOLTAGEREGULATOR,0,813,VOLTAGEREGULATOR,VOLTAGEREGULATOR,465633280,0,0
49,OSCILLATOR,0,843,OSCILLATOR,OSCILLATOR,465633280,0,0
50,JScan,0,280,JScan,JScan,448856064,0,0
52,GATE,0,863,GATE,GATE,448856064,0,0
53,OPAMP,0,823,OPAMP,OPAMP,465633280,0,0
54,PowerOn,0,800,PowerOn,PowerOn,465633280,0,0
55,POWEROFF,0,1103,POWEROFF,POWEROFF,465633280,0,0
56,HotAirFlowOn,0,6,HotAirFlowOn,HotAirFlowOn,304087040,0,0
57,HOTAIRFLOWOFF,0,80101,HOTAIRFLOWOFF,HOTAIRFLOWOFF,304087040,0,0
58,HOTAIRFLOW,0,40002,HOTAIRFLOW,HOTAIRFLOW,304087040,0,0
59,OTPN,0,50,OTPN,OTPN,448856064,0,0
61,OTPNd,0,60,OTPNd,OTPNd,448856064,0,0
62,NOTMOUNTED,0,40008,NOTMOUNTED,NOTMOUNTED,335478784,0,0
63,Short,0,30,Short,Short,306249728,0,0
65,FIDUCIAL,0,21003,FIDUCIAL,FIDUCIAL,335478784,0,0
66,MECHANICAL,0,22003,MECHANICAL,MECHANICAL,335478784,0,0
67,TESTPOINT,0,23003,TESTPOINT,TESTPOINT,335478784,0,0
68,Trimmer,0,180,Trimmer,Trimmer,465633280,0,0
69,FNodeParse,0,90,FNodeParse,FNodeParse,314638336,0,0
70,REMOVEDCOMPONENTS,0,90004,REMOVEDCOMPONENTS,REMOVEDCOMPONENTS,335478784,0,0
71,AUTIC,0,285,AUTIC,AUTIC,465633280,0,16384
72,GENERIC_S20,0,4003,GENERIC_S20,GENERIC_S20,314638336,0,0
73,DGT_PRG,0,805,DGT_PRG,DGT_PRG,448872448,0,0
74,IMPCHECK,0,80104,IMPCHECK,RESISTOR,314638336,0,0
75,MOVEPROBE,0,80105,MOVEPROBE,RESISTOR,328204288,0,0
76,TRANSISTOR_BCR,0,80106,TRANSISTOR_BCR,TRANSISTOR,331415552,0,0
77,CONT_AC,0,115,CONT_AC,CONT_AC,382797824,256,0
78,ISO_AC,0,135,ISO_AC,ISO_AC,382797824,256,0
79,BOARD_PRESENCE,0,1,BOARD_PRESENCE,BOARD_PRESENCE,306249728,0,0
80,NO_ICT,0,35,NO_ICT,NO_ICT,306249728,0,0
81,OPENTIC,0,287,OPENTIC,OPENTIC,465633280,0,16384
82,CLUSTER_POWER,0,1053,CLUSTER_POWER,CLUSTER_POWER,335478784,0,0
83,KELVIN,0,137,KELVIN,KELVIN,303038464,0,0
84,BARREL,0,138,BARREL,BARREL,303038464,0,0
85,THERMAL,0,1083,THERMAL,THERMAL,314638336,0,0
86,QUICKTEST,0,1093,QUICKTEST,QUICKTEST,381763840,0,0
87,QUICKTEST_NOPOWER,0,500,QUICKTEST_NOPOWER,QUICKTEST_NOPOWER,381747456,0,0
88,REL_CL_OFF,0,252,RELAIS_NOT_OPT,Relais,448860160,0,0
89,REL_OP_OFF,0,253,RELAIS_NOT_OPT,Relais,448860160,0,0
90,REL_CL_ON,0,254,RELAIS_NOT_OPT,Relais,448860160,0,0
91,REL_OP_ON,0,255,RELAIS_NOT_OPT,Relais,448860160,0,0
92,OPTORELAY,0,312,RELAIS_NOT_OPT,OptoIsolator,465637376,0,0
93,GATE_NOPW,0,864,GATE_NOPW,GATE,448856064,0,0
94,COMPARATOR_NOPW,0,824,COMPARATOR_NOPW,OPAMP,448856064,0,0
96,LEDCHECK_MEAS,1,1065,LEDCHECK_MEAS,LEDCHECK_MEAS,314638336,0,0
97,LEDCHECK_CONF,1,1063,LEDCHECK_CONF,LEDCHECK_CONF,314638336,0,0
98,TRANSISTOR_N,0,221,TRANSISTOR_N,TRANSISTOR_N,465633280,0,0
99,TRANSISTOR_P,0,222,TRANSISTOR_P,TRANSISTOR_P,465633280,0,0
100,MOS_N,0,231,MOS_N,MOS_N,465633280,0,0
101,MOS_P,0,232,MOS_P,MOS_P,465633280,0,0
102,LED,0,211,LED,LED,465633280,0,0
103,JUMPER_CLOSE,0,151,JUMPER_CLOSE,JUMPER_CLOSE,466681856,256,16384
104,JUMPER_OPEN,0,152,JUMPER_OPEN,JUMPER_OPEN,466681856,256,16384
105,ISOLATION_LOW,0,132,ISOLATION_LOW,ISOLATION_LOW,370147328,256,0
106,VOLTAGEDIVIDER,0,813,VOLTAGEDIVIDER,VOLTAGEDIVIDER,332464128,0,0
107,RESCOIL,0,171,RELAIS_NOT_OPT,Relais,448860160,0,0
108,DISCOIL,0,11,DISCOIL,RELAIS,465633280,0,0
109,OBP_FP,0,321,OBP_FP,OBP_FP,1384120320,0,0
110,VI_ADAPTER,0,286,VI_ADAPTER,VI_ADAPTER,318701568,0,0
111,CLUSTER_IGNR_PW,0,1054,CLUSTER_IGNR_PW,CLUSTER_IGNR_PW,335478784,0,0
112,ACL_DRA_DRB_IMM,0,1055,ACLAM_GENERIC,ACL_DRA_DRB_IMM,385810432,0,0
113,ACL_DRA_DRC_CNT,0,1056,ACLAM_GENERIC,ACL_DRA_DRC_CNT,385810432,0,0
115,OpenFix_Conn,0,271,OpenFix_Conn,OpenFix,465633280,0,0
116,CHECK_STUCK_UNK,0,806,CHECK_STUCK_UNK,CHECK_STUCK_UNK,381763584,0,0
117,CHECK_STUCK_GND,0,807,CHECK_STUCK_GND,CHECK_STUCK_GND,381763584,0,0
118,CHECK_STUCK_VCC,0,808,CHECK_STUCK_VCC,CHECK_STUCK_VCC,381763584,0,0
119,CHECK_STUCK_NC,0,809,CHECK_STUCK_NC,CHECK_STUCK_NC,381763584,0,0
120,CHECK_STUCK_MIX,0,810,CHECK_STUCK_MIX,CHECK_STUCK_MIX,381763584,0,0
121,CHECK_STUCK_DIG,0,811,CHECK_STUCK_DIG,CHECK_STUCK_DIG,381763584,0,0
122,CHECK_STUCK_ANA,0,812,CHECK_STUCK_ANA,CHECK_STUCK_ANA,381763584,0,0
123,LEAKAGE,0,501,LEAKAGE,LEAKAGE,1388380160,0,0
124,LED_SENSOR,0,600,LED_SENSOR,LED_SENSOR,377487360,0,0
125,LEAKAGE_HIR,0,502,LEAKAGE_HIR,LEAKAGE_HIR,1388380160,0,0
126,ALI,0,3005,ALI,ALI,314572800,0,0
127,ORTHOGONALITY,0,2,ORTHOGONALITY,ORTHOGONALITY,281083904,0,0
128,THICKNESS,0,3,THICKNESS,THICKNESS,281083904,0,0
129,POWER_SUPPLY,0,808,POWER_SUPPLY,POWER_SUPPLY,314638336,0,0
130,NVL_APPLY,0,502,NVL_APPLY,NVL_APPLY,314638592,0,0
131,NVL_MEASURE,0,504,NVL_MEASURE,NVL_MEASURE,314638592,0,0
132,NVL_REMOVE,0,505,NVL_REMOVE,NVL_REMOVE,314638592,0,0
133,NVL,0,506,NVL,NVL,314638592,0,0
134,ISOLATION_HIGH,0,131,ISOLATION_HIGH,ISOLATION_HIGH,370147328,256,0
135,NVL_CONNECT,0,503,NVL_CONNECT,NVL_CONNECT,314638592,0,0
136,ACQUIREAREA,0,4,ACQUIREAREA,ACQUIREAREA,281083904,0,0
137,MIXED_ICT_TEST,0,92,MIXED_ICT_TEST,MIXED_ICT_TEST,511705344,0,3162112
138,OCR,0,3011,OCR,OCR,318701568,0,0
139,TS_ADAPTER,0,289,TS_ADAPTER,TS_ADAPTER,318701568,0,0
149,ALREADY_TESTED,0,89021,ALREADY_TESTED,ALREADY_TESTED,381747456,0,0
