IDMacroKind,Name,Permissions,Permissions2,State,GenerationType
0,<unknown>,335478784,0,0,0
1,CONNECTOR,515964928,0,0,1
2,_JUMPER,298909696,0,0,1
3,_FUSE,298909696,0,0,1
9,_DIODE,297861120,0,0,1
10,_TRANSISTOR,297861120,0,0,1
17,_ISOLATION,298909696,0,0,2
18,_RESISTOR_STD,298909696,0,0,1
19,SYSTEM_PROC,333381632,0,0,1
20,CLOCK,364969984,0,0,1
21,_MOSFET,297861120,0,0,1
22,_RELAIS,297861120,0,0,1
23,_TRANSFORMER,297861120,0,0,1
24,_ZENER,297861120,0,0,1
26,_CAPACITOR_STD,298909696,0,0,1
27,BEGIN,1476331808,4096,0,1
28,END,1476331808,4096,0,1
29,_CAP_READ,286261248,0,0,3
30,_CONTINUITY,298909696,0,0,4
31,CAP_PARSE,386924548,0,0,1
34,CAP_ISO,386924548,0,0,1
36,_CAP_BEGIN,286261252,0,0,1
37,CAP_END,386924548,0,0,1
38,FEMTO_READ,395313152,0,0,1
41,_SOLD,304087040,0,0,5
42,_CONTINUITY_STD,298909696,0,0,4
43,_ISOLATION_STD,298909696,0,0,2
44,CAP_READ_STD,298909696,0,0,3
47,RESISTOR,517013504,16641,0,1
48,CAPACITOR,517013504,16641,0,1
49,INDUCTOR,517013504,16641,0,1
50,FNODE,381747200,258,0,6
52,DIODE,381747200,257,0,1
53,CLUSTER,399572992,0,0,1
54,CONTINUITY,517013504,257,0,4
55,ISOLATION,517013504,17153,0,2
56,OPENFIX,381747200,258,0,8
58,_OPENFIX,297861120,0,0,8
59,_INDUCTOR,298909696,0,0,1
60,JUMPER,517013504,17153,0,1
61,RELAIS,381747200,256,0,1
63,TRANSFORMER,381747200,256,0,1
64,FUSE,382795776,257,0,1
65,MOSFET,381747200,257,0,1
66,TRANSISTOR,381747200,257,0,1
68,JSCAN,381747200,258,0,9
69,DISCHARGE,381747200,768,0,1
70,CAP_READ_Z,395313152,0,0,1
72,VISION,335478784,0,0,1
73,DIODE_INV,381747200,257,0,1
74,_SOLD1,304087040,0,0,5
75,FNODE_BEGIN,381747204,0,0,1
76,FNODE_END,381747204,0,0,1
78,_SOLD2,304087040,0,0,5
79,OPENFIX_PARSE,381747200,2,0,1
80,GATE,381763584,256,0,1
82,CLUSTERDIA,399572993,0,0,1
84,OPTOISOLATOR,381747200,256,0,1
85,SCR_ON,381747200,256,0,1
86,TRIAC_ON,381747200,256,0,1
87,SCR_OFF,381747200,256,0,1
