IDSection,Name,Position,StartPosition,EndPosition,State,Permissions,State2,Permissions2,AdditionalInfo
0,<unknown>,0,0,0,2,0,0,0,
1,BEGIN,1,0,0,4610,335478784,0,0,
2,BOARD_PRESENCE,2,0,0,4610,306249728,0,0,
3,CAPACITIVEBEGIN,6,0,0,4610,454033408,0,0,
4,CAPACITIVEREAD,7,0,0,4610,454033408,0,0,
5,CAPACITIVEPARSE,8,0,0,4610,454033408,0,0,
6,HOTAIRFLOWON,9,0,0,4610,304087040,0,0,
7,DISCHARGE,10,0,0,4610,465633280,0,0,
8,DISCOIL,11,0,0,4610,465633280,0,0,
9,CONTACT,12,0,0,4610,306249728,0,0,
10,SHORT,13,0,0,4610,306249728,0,0,
11,NO_ICT,14,0,0,4610,306249728,0,0,
12,FNODEBEGIN,15,0,0,4610,314638336,0,0,
13,OTPN,16,0,0,4610,448856064,0,0,
14,OTPND,17,0,0,4610,448856064,0,0,
15,FNODE,18,0,0,4610,448856064,0,0,
16,PAN,19,0,0,4610,448856064,0,0,
17,FNODEPARSE,20,0,0,4610,314638336,0,0,
18,CONTINUITY,22,0,0,4610,466681856,0,0,
19,CONT_AC,23,0,0,4610,382797824,0,0,
20,CAPACITIVEISO,24,0,0,4610,454033408,0,0,
21,ISOLATION,25,0,0,4610,466681856,0,16384,
22,ISO_AC,28,0,0,4610,382797824,0,0,
23,KELVIN,29,0,0,4610,303038464,0,0,
24,BARREL,30,0,0,4610,303038464,0,0,
25,CONNECTOR,31,0,0,4610,465633280,0,0,
26,JUMPER,32,0,0,4610,466681856,0,16384,
27,JUMPER_CLOSE,33,0,0,4610,466681856,0,16384,
28,JUMPER_OPEN,34,0,0,4610,466681856,0,16384,
29,FUSE,35,0,0,4610,466681856,0,0,
30,RESISTOR,36,0,0,4610,466681856,0,16384,
31,RELAIS_NOT_OPT,37,0,0,4610,448860160,0,0,
32,TRIMMER,38,0,0,4610,465633280,0,0,
33,CAPACITOR,39,0,0,4610,466681856,0,16384,
34,INDUCTANCE,40,0,0,4610,466681856,0,16384,
35,DIODE,41,0,0,4610,465633280,0,0,
36,LED,42,0,0,4610,465633280,0,0,
37,TRANSISTOR,43,0,0,4610,465633280,0,0,
38,TRANSISTOR_N,44,0,0,4610,465633280,0,0,
39,TRANSISTOR_P,45,0,0,4610,465633280,0,0,
40,MOSFET,46,0,0,4610,465633280,0,0,
41,MOS_N,47,0,0,4610,465633280,0,0,
42,MOS_P,48,0,0,4610,465633280,0,0,
43,TRANSFORMER,49,0,0,4610,465633280,0,0,
44,RELAIS,50,0,0,4610,465633280,0,0,
